Domain,URL,Title,Hits,date,Date Discovery,Content length,Type,source_file
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/glace-vanille-maison-r6869/,Glace vanille maison - Recettes de cuisine Ôdélices,28,15/05/2025 05:07,15/05/2025 05:07,892.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/feta-rotie-pois-chiches-poivrons-r6854/,Feta rôtie aux pois chiches et poivrons - Recettes de cuisine Ôdélices,27,16/06/2025 06:21,16/06/2025 06:21,226.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/sirop-maison-fleurs-sureau-noir-r6878/,Sirop maison de fleurs de sureau noir - Recettes de cuisine Ôdélices,25,28/05/2025 08:48,28/05/2025 08:48,431.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/tartelettes-thon-concombre-r6855/,Tartelettes fines aux rillettes de thon et concombre - Recettes de cuisine Ôdélices,25,06/05/2025 05:35,06/05/2025 05:35,242.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/selection-recettes/fete-des-peres-nos-meilleures-idees-de-recettes-pour-un-barbecue-festif-54044/,Fête des pères : nos meilleures idées de recettes pour un barbecue festif - Ôdélices,21,11/06/2025 12:33,11/06/2025 12:33,731.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/conseils-bien-etre/quels-aliments-contiennent-le-plus-de-microplastiques-et-comment-les-eviter-53596/,Quels aliments contiennent le plus de microplastiques et comment les éviter ? - Ôdélices,21,04/05/2025 05:00,04/05/2025 05:00,1135.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/conseils-bien-etre/kefir-vs-kombucha-lequel-choisir-54170/,Kéfir vs Kombucha : lequel choisir ? - Ôdélices,20,23/06/2025 05:42,23/06/2025 05:42,1842.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/gaspacho-fraicheur-skyr-concombre-menthe-r6908/,Gaspacho fraîcheur skyr concombre menthe - Recettes de cuisine Ôdélices,18,23/06/2025 13:08,23/06/2025 13:08,179.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/mouton-feuillete-pesto-basilic-paques-r6839/,Mouton feuilleté au pesto de basilic pour l'apéro de Pâques - Recettes de cuisine Ôdélices,16,19/04/2025 05:00,19/04/2025 05:00,241.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/selection-recettes/menu-de-la-semaine-21-2025-53786/,Menu de la semaine 21 : nos idées repas faciles pour le soir (19 au 25 mai 2025) - Ôdélices,15,16/05/2025 13:30,16/05/2025 13:30,902.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/tarte-rustique-tomates-cerises-r6860/,Tarte rustique aux tomates cerises - Recettes de cuisine Ôdélices,15,02/06/2025 05:51,02/06/2025 05:51,201.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/poivrons-farcis-oeuf-mozza-tomates-r6848/,Poivrons farcis œuf mozza tomates - Recettes de cuisine Ôdélices,13,17/06/2025 23:59,17/06/2025 23:59,330.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/astuces-cuisine/comment-choisir-une-bonne-huile-dolive-53719/,Comment choisir une bonne huile d'olive ? - Ôdélices,13,09/05/2025 07:00,09/05/2025 07:00,2632.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/ecologie/penurie-mondiale-pistache-a-cause-de-la-trend-chocolat-dubai-53575/,Une pénurie mondiale de pistache à cause de la trend du chocolat Dubaï - Ôdélices,13,25/04/2025 07:00,25/04/2025 07:00,1212.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/tartelettes-fraises-creme-dessert-vanille-r6843/,Tartelettes aux fraises et crème dessert vanille - Recettes de cuisine Ôdélices,11,24/04/2025 07:00,24/04/2025 07:00,440.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/selection-recettes/15-recettes-salades-colorees-pique-nique-printemps-53707/,15 recettes de salades colorées pour pique-niquer au printemps - Ôdélices,10,09/05/2025 09:54,09/05/2025 09:54,1240.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/ecologie/dangers-lies-au-cadmium-les-francais-particulierement-concernes-54164/,"Dangers liés au cadmium, les Français particulièrement concernés - Ôdélices",10,22/06/2025 07:35,22/06/2025 07:35,1256.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/paris-brest-sale-avocat-saumon-r6856/,Paris-brest salé avocat saumon - Recettes de cuisine Ôdélices,9,05/05/2025 10:37,05/05/2025 10:37,443.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/fatayers-fromage-feta-menthe-r6825/,Voyagez au liban avec ces délicieux fatayers libanais au fromage feta et à la menthe - Recettes de cuisine Ôdélices,8,04/04/2025 05:07,04/04/2025 05:07,242.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/crackers-graines-sans-farine-r6857/,Crackers aux graines (sans farine) - régime cétogène sans gluten - Recettes de cuisine Ôdélices,8,12/05/2025 10:56,12/05/2025 10:56,275.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/mini-quiches-sans-pate-saumon-poireau-r6846/,Mini quiches sans pâte saumon poireau - Recettes de cuisine Ôdélices,8,24/04/2025 05:44,24/04/2025 05:44,653.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/muffins-myrtilles-graines-de-chia-sans-lactose-r6851/,"Muffins moelleux myrtilles, bananes et graines de chia : la recette du chef irlandais Donal Skehan - Recettes de cuisine Ôdélices",6,02/05/2025 07:00,02/05/2025 07:00,465.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/bastelles-corse-oignons-blettes-r6905/,Bastelles corse aux oignons et blettes - Recettes de cuisine Ôdélices,5,10/06/2025 08:22,10/06/2025 08:22,482.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/cornets-brick-chantilly-framboises-r6918/,Cornets de brick à la chantilly et framboises - Recettes de cuisine Ôdélices,4,27/06/2025 09:39,27/06/2025 09:39,467.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/actualites/selection-recettes/30-recettes-de-brasserie-genereuses-et-conviviales-52832/,"30 recettes de brasserie, généreuses et conviviales",4,16/02/2025 05:37,16/02/2025 05:37,,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/salade-thai-printaniere-quinoa-petits-pois-r6871/,Salade thaï printanière au quinoa et petits pois - Recettes de cuisine Ôdélices,3,22/05/2025 13:46,22/05/2025 13:46,313.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/magazine-numeros/magazine-odelices-59-pintemps-2025-53166/,27 jolies recettes bien gourmandes et printanières à télécharger dans le nouveau magazine Ôdélices n°59 - Ôdélices,22,20/03/2025 17:48,20/03/2025 17:48,493.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/cake-epinards-feta-r6845/,Cake épinards feta - Recettes de cuisine Ôdélices,3,26/04/2025 05:21,26/04/2025 05:21,306.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/salade-tartines-chevre-chaud-miel-r6850/,Salade de tartines de chèvre chaud et miel - Recettes de cuisine Ôdélices,2,30/04/2025 07:00,30/04/2025 07:00,263.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
odelices.ouest-france.fr,https://odelices.ouest-france.fr/recette/gateau-au-yaourt-au-chocolat-r2396/,Gâteau au yaourt au chocolat - Recettes de cuisine Ôdélices,2,07/04/2025 15:00,07/04/2025 15:00,1247.0,article,top_urls_host_data_2025_07_04T15_57 (2).csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3231594-c-est-l-arnaque-la-plus-repandue-dans-les-restaurants-les-serveurs-l-appellent-rempoter/,"C'est l'arnaque la plus répandue au restaurant, souvent par ordre du patron : les serveurs appellent ça ""rempoter""",335,21/06/2025 08:15,21/06/2025 08:15,430.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3228406-moins-cher-que-la-viande-cet-ingredient-fait-des-merveilles-dans-les-tomates-farcies/,"Moins cher que la viande, cet ingrédient fait des merveilles dans les tomates farcies",300,20/05/2025 08:15,20/05/2025 08:15,483.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3226162-mieux-vaut-eviter-ce-type-de-fromage-blanc-au-supermarche-pour-deux-bonnes-raisons/,"Mieux vaut éviter ce type de fromage blanc au supermarché, pour deux bonnes raisons",277,30/04/2025 04:25,30/04/2025 04:25,470.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3224712-plus-rapide-que-la-charlotte-aux-fraises-classique-la-recette-simplifiee-de-laurent-mariotte/,"Plus rapide que la charlotte aux fraises classique, la recette simplifiée de Laurent Mariotte",274,15/04/2025 14:30,15/04/2025 14:30,399.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3225514-note-0-100-ce-cafe-en-dosette-est-a-eviter-absolument-selon-yuka/,"Noté 0/100, ce café en dosette est à éviter absolument selon Yuka",260,28/04/2025 04:25,28/04/2025 04:25,491.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3227784-les-meilleurs-oeufs-brouilles-que-j-ai-manges-dans-ma-vie-la-technique-a-connaitre-sans-creme-ni-lait/,"""Les meilleurs œufs brouillés que j'ai mangés dans ma vie"" – la technique à connaître, sans crème ni lait",258,17/05/2025 08:15,17/05/2025 08:15,421.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3224836-si-les-portions-sont-aussi-petites-dans-les-restaurants-gastronomiques-c-est-pour-une-bonne-raison/,"Si les portions sont aussi petites dans les restaurants gastronomiques, c'est pour une bonne raison",251,20/04/2025 08:15,20/04/2025 08:15,537.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3226110-fini-la-pate-a-tarte-ramollie-mercotte-a-un-bon-truc-pour-qu-elle-reste-croustillante/,"Fini la pâte à tarte ramollie, Mercotte a un bon truc pour qu'elle reste croustillante",242,01/05/2025 14:30,01/05/2025 14:30,436.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3228444-cyril-lignac-ajoute-toujours-cet-ingredient-dans-son-clafoutis-ca-fait-ressortir-le-gout-des-cerises/,"Cyril Lignac ajoute toujours cet ingrédient dans son clafoutis, ça fait ressortir le goût des cerises",235,27/05/2025 08:15,27/05/2025 08:15,407.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3225650-tarte-aux-fraises-magique-une-creme-patissiere-minute-sans-cuisson-ni-prise-de-tete/,"Tarte aux fraises magique : une crème pâtissière minute, sans cuisson ni prise de tête",232,24/04/2025 14:30,24/04/2025 14:30,472.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3224710-laurent-mariotte-a-mieux-que-la-sauce-mousseline-pour-accompagner-les-asperges-blanches-la-recette-facile/,Laurent Mariotte a mieux que la sauce mousseline pour accompagner les asperges blanches - la recette facile,224,23/04/2025 16:32,23/04/2025 16:32,503.0,article,top_urls_host_data_2025_07_04T15_55.csv
